theme_park,attraction,lat,lon,time
アドベンチャーランド,ブルーバイユー・レストラン,35.6343677883884,139.881293838724,
アドベンチャーランド,ミニー・オー！ミニー,35.6342348101543,139.881677394613,
アドベンチャーランド,クリスタルパレス・レストラン,36.6335263158334,139.880915647253,
アドベンチャーランド,ジャングルクルーズ,35.6338838337526,139.882187014326,600
アドベンチャーランド,ウエスタンリバー鉄道,35.6337159749287,139.882264798387,900
ワールドバザール,センターストリート・コーヒーハウス,35.6341454312169,139.879083698496,
ワールドバザール,オムニバス,35.6330183760398,139.879751568541,360
アドベンチャーランド,スイスファミリー・ツリーハウス,35.6334521960646,139.88176858972,510
アドベンチャーランド,ポリネシアンテラス・レストラン,35.6332974163259,139.882482057318,
アドベンチャーランド,魅惑のチキルーム,35.6331971363352,139.882213836416,600
トゥモローランド,モンスターズ・インク”ライド＆ゴーシーク！”,35.6338424140759,139.878711541995,240
ウエスタンランド,プラザパビリオン・レストラン,35.6328886655753,139.881387045487,
ファンタジーランド,シンデレラのフェアリーテイル・ホール,35.6319725112998,139.88085529755,
トゥモローランド,スターツアーズ,35.6334489260736,139.878428568944,270
ウエスタンランド,ザ・ダイヤモンドホースシュー,35.6325987237755,139.881655266389,
トゥモローランド,スティッチ・エンカウンター,35.632558393442,139.878967692956,720
トゥモローランド,バズ・ライトイヤーのアストロブラスター,35.6326990045171,139.878950258597,240
トゥモローランド,スペース・マウンテン,35.6325300531953,139.878446003303,180
ウエスタンランド,カントリーベア・シアター,35.6323191360438,139.882484068974,900
ファンタジーランド,白雪姫と七人のこびと,35.6316847462194,139.881334071859,150
トゥモローランド,ワンマンズ・ドリームⅡ - ザ・マジック・リブズ・オン,35.6328363453284,139.878168394669,
ファンタジーランド,ミッキーのフィルハーマジック,35.6314296808502,139.880891507372,960
ファンタジーランド,空飛ぶダンボ,35.6315038024943,139.881552671894,
ファンタジーランド,キャッスルカルーセル,35.6312956077016,139.881170457109,120
ファンタジーランド,アリスのティーパーティー,35.6311746146671,139.881116812929,90
ファンタジーランド,クイーン・オブ・ハートのバンケットホール,35.6310917724839,139.881339436277,
ウエスタンランド,ビッグサンダーマウンテン,35.6324330422748,139.883369868502,240
ファンタジーランド,ピーターパン空の旅,35.6316923763674,139.881883924707,150
ウエスタンランド,蒸気船マークトウェイン号,35.6316411453591,139.882875671491,720
ファンタジーランド,ピノキオの冒険旅行,35.6309925797568,139.880541479095,120
ウエスタンランド,ウエスタンランド・シューティングギャラリー,35.6325327782192,139.883264591798,
ファンタジーランド,ホーンテッドマンション,35.6313838998003,139.882044857248,900
ファンタジーランド,イッツ・ア・スモールワールド,35.6308029141996,139.881049757704,600
ファンタジーランド,プーさんのハニーハント,35.6306710200699,139.880231683954,270
ウエスタンランド,トムソーヤ島いかだ,35.6319948566509,139.883651500448,180
トゥーンタウン,トゥーンパーク,35.6305167799645,139.879441102847,
クリッターカントリー,スプラッシュマウンテン,35.6309931247721,139.882784476384,600
トゥーンタウン,グーフィーのペイント＆プレイハウス,35.6303827052848,139.879150083169,
トゥーンタウン,ミニーの家,35.6301140102294,139.878983115658,
トゥーンタウン,ドナルドのボート,35.6304066861383,139.878986468419,
トゥーンタウン,チップとデールのツリーハウス,35.6303908805766,139.878722941383,
トゥーンタウン,ガジェットのゴーコースター,35.6305391257226,139.878671979412,
トゥーンタウン,ロジャーラビットのカートゥーンスピン,35.6297739162071,139.880013083919,210
クリッターカントリー,ビーバーブラザーズのカヌー探検,35.630986584588,139.8839794005,600
アドベンチャーランド,カリブの海賊,35.6342337201679,139.880680953964,900
ワールドバザール,ペニーアーケード,35.6340211725281,139.879622822508,
ファンタジーランド,美女と野獣魔法のものがたり,35.631166599178385, 139.87818108363948,480
ワールドバザール,イーストサイド・カフェ,35.634671949805195, 139.87977186783877,
アドベンチャーランド,クリスタルパレス・レストラン,35.63373731181737, 139.8808570255109,
None,グランドサーキット・レースウェイ,,,
None,スタージェット,,,
トゥモローランド,ベイマックスのハッピーライド,35.63189195556813, 139.87883994085513,90
ミッキー花壇,スタート地点,35.63517546836685,139.87911886975044,0
