theme_park,attraction,lat,lon,time
アラビアンコースト,シンドバッド・ストーリーブック・ヴォヤッジ,35.6284230648247,139.881451632829,600
ロストリバーデルタ,レイジングスピリッツ,35.6276318884465,139.881287379651,90
アラビアンコースト,マジックランプシアター,35.6283936330459,139.883023407312,1380
アラビアンコースト,キャラバンカルーセル,35.628048081351,139.883251395078,150
ロストリバーデルタ,インディ・ジョーンズ・アドベンチャー,35.626642092886,139.881296767383,180
ロストリバーデルタ,サルードス・アミーゴス！グリーティングドッグ,35.6265897685507,139.88217417175,
マーメイドラグーン,フランダーのフライングフィッシュコースター,35.627396702254,139.882726141144,60
マーメイドラグーン,スカットルのスクーター,35.6271383529536,139.883105673719,90
ロストリバーデルタ,ミッキー＆フレンズ・グリーティングトレイル,35.6259945768254,139.881229041605,
ロストリバーデルタ,アウト・オブ・シャドウランド（ハンガーステージ）,35.6258921074733,139.882059185295,
マーメイドラグーン,ジャンピン・ジェリーフィッシュ,35.6269594241693,139.883100979853,60
マーメイドラグーン,ワールプール,35.6269594241693,139.883100979853,90
マーメイドラグーン,キング・トリトンのコンサート（マーメイドラグーンシアター）,35.6269594241693,139.883100979853,840
マーメイドラグーン,アリエルのプレイグラウンド,35.6269594241693,139.883100979853,
マーメイドラグーン,ブローフィッシュ・バルーンレース,35.6269594241693,139.883100979853,90
ミステリアスアイランド,海底２万マイル,35.6264505074969,139.884714328576,300
None,ストームライダー,35.6247465520682,139.882572741189,
ミステリアスアイランド,センター・オブ・ジ・アース,35.6258004356181,139.884293221761,180
ポートディスカバリー,ホライズンベイ・レストラン,35.6253019049972,139.883318395295,
ポートディスカバリー,アクアトピア,35.6247225695168,139.883216471352,150
メディテレーニアンハーバー,マゼランズ,35.6259336793703,139.885271043458,
メディテレーニアンハーバー,フォートレス・エクスプロレーション,35.6255687530204,139.885098040976,
メディテレーニアンハーバー,ディズニーシー・トランジットスチーマーライン,35.6266937330512,139.886020720877,420
アメリカンウォーターフロント,ヴィレッジ・グリーティングプレイス,35.6242821613854,139.885529876627,
メディテレーニアンハーバー,カフェ・ポルトフィーノ,35.6268777000704,139.887206257262,
メディテレーニアンハーバー,リストランテ・ディ・カナレット,35.6256022883982,139.887685031571,
アメリカンウォーターフロント,レストラン櫻,35.6247738049588,139.88722369162,
アメリカンウォーターフロント,ディズニーシー・エレクトリックレールウェイ,35.62527293977422, 139.8878078844394,150
メディテレーニアンハーバー,ヴェネツィアン・ゴンドラ,35.6260462174088,139.887922407069,
アメリカンウォーターフロント,ビッグバンドビート（ブロードウェイ・ミュージックシアター）,35.624907889045,139.888118208327,
アメリカンウォーターフロント,ビッグシティ・ヴィークル,35.6243606501409,139.887049348034,600
アメリカンウォーターフロント,テーブル・イズ・ウェイティング（ドッグサイドステージ）,35.6238352100591,139.88703325478,
アメリカンウォーターフロント,S.S.コロンビア・ダイニングルーム,35.6236825919608,139.887200892844,
アメリカンウォーターフロント,タワー・オブ・テラー,35.6241676984789,139.887990803399,120
アメリカンウォーターフロント,セイリングデイ・ブッフェ,35.6238341199308,139.887545556702,
アメリカンウォーターフロント,タートル・トーク,35.6235724887234,139.887309522309,1800
アメリカンウォーターフロント,トイ・ストーリー・マニア,35.6247857962277,139.888894707837,420
アラビアンコースト,ジャスミンのフライングカーペット,35.6283195085179,139.88125869482,90
ポートディスカバリー,レールウェイ(ポート),35.62571785564667, 139.88302990792852,420
メディテレーニアンハーバー,スチーマーライン(ハーバー),35.626900554560144, 139.8858958961264,420
ロストリバーデルタ,スチーマーライン(ロスト),35.6270400855, 139.88181893844086,420
アメリカンウォーターフロント,スチーマーライン(フロント),35.62447616560796, 139.8855096580299,780
メディテレーニアンハーバー,ソアリン,35.627655489486536, 139.88579593596955,300
ポートディスカバリー,ニモ＆フレンズ・シーライダ,35.62500846282961, 139.88249818651965,300
ディズニーシー・プラザ,スタート地点,,,
